date, problem, input, result, duration
2022-10-01 15:58:45.953489 +0100 WEST m=+0.000336216, 1, 1000, 233168, 4.066µs
2022-10-01 15:58:45.986849 +0100 WEST m=+0.033696716, 2, 4000000, 4613732, 487ns
2022-10-01 15:58:52.195445 +0100 WEST m=+6.242471957, 3, 600851475143, 6857, 6.186176017s
2022-10-01 15:58:52.236351 +0100 WEST m=+6.283379625, 4, 999, 906609, 17.632772ms
2022-10-01 15:58:53.209213 +0100 WEST m=+7.256269632, 5, 20, 232792560, 953.9205ms
2022-10-01 15:58:53.230068 +0100 WEST m=+7.277124891, 6, 100, 25164150, 4.267µs

2022-10-02 16:42:40.147162 +0100 WEST m=+0.160469035, 7, 10001, 104743, 160.201025ms
